State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
TN,Haywood County,"18,807","17,304",189,233,-1,2,1,10.9,13.4,"4,267","4,656","2,120","1,378",34.4,37.5,17.1,11.1,"2,197","5,735","2,918","1,346",18.0,47.0,23.9,11.0,"3,524",20.7,"1,094",29.0,746,"38,950",8099,9205,98,126,4086,4314,4009,4902,64,74,35,40,5,5,377,359
TN,Henderson County,"27,780","28,117",305,309,-3,143,140,10.9,11.0,"5,258","6,825","3,460","1,597",30.7,39.8,20.2,9.3,"3,358","8,226","5,070","2,795",17.3,42.3,26.1,14.4,"4,370",15.8,"1,359",21.9,907,"46,826",13772,14345,291,276,12514,13192,1356,1249,123,104,66,75,7,7,415,287
TN,Henry County,"32,349","32,345",300,481,-5,197,192,9.3,14.9,"6,432","8,728","3,994","2,637",29.5,40.1,18.3,12.1,"3,285","10,658","5,579","3,858",14.1,45.6,23.9,16.5,"5,795",18.3,"1,795",28.0,"1,341","43,159",15701,16644,329,297,14327,15197,1401,1449,177,162,115,131,17,17,482,456
TN,Hickman County,"24,690","25,178",255,283,-7,207,200,10.2,11.3,"5,324","5,569","3,013",993,35.7,37.4,20.2,6.7,"3,745","7,739","4,075","1,904",21.4,44.3,23.3,10.9,"3,830",16.3,"1,127",22.4,790,"46,176",13223,11955,180,222,12095,11536,1087,362,163,188,59,85,5,13,383,281
TN,Houston County,"8,429","8,201",80,93,-1,-18,-19,9.7,11.3,"1,654","2,281","1,033",571,29.9,41.2,18.6,10.3,"1,311","2,711",984,748,22.8,47.1,17.1,13.0,"1,427",17.8,421,24.8,292,"40,915",4039,4162,87,91,3865,4000,178,153,54,60,29,33,2,7,102,101
TN,Humphreys County,"18,535","18,582",230,254,-4,59,55,12.4,13.7,"3,439","5,303","2,385","1,143",28.0,43.2,19.4,9.3,"1,967","6,316","2,897","1,861",15.1,48.4,22.2,14.3,"2,388",13.1,788,20.7,547,"52,121",9272,9310,151,164,8863,8968,379,308,126,115,50,77,6,12,252,231
TN,Jackson County,"11,634","11,786",94,163,1,77,78,8.0,13.8,"2,943","2,979","1,101",648,38.4,38.8,14.4,8.4,"1,899","3,878","1,961",961,21.8,44.6,22.5,11.0,"1,977",17.1,484,23.8,345,"41,749",5893,5893,84,84,5803,5798,71,71,83,82,17,23,5,5,125,131
TN,Jefferson County,"51,668","54,495",473,668,15,661,676,8.7,12.3,"8,529","10,513","6,642","3,771",29.0,35.7,22.5,12.8,"5,570","14,851","11,208","6,365",14.7,39.1,29.5,16.8,"6,622",12.5,"1,951",19.3,"1,321","50,332",26845,27650,369,409,25815,26784,818,673,333,308,220,270,39,36,1148,922
TN,Johnson County,"18,240","17,788",154,237,-6,104,98,8.7,13.3,"5,310","4,401","2,164",880,41.6,34.5,17.0,6.9,"2,729","5,607","3,595","1,563",20.2,41.6,26.6,11.6,"4,045",25.2,"1,028",35.6,661,"40,219",9544,8244,113,95,9108,8141,409,75,97,71,35,44,9,10,201,174
TN,Knox County,"432,260","470,313","5,154","4,548",818,"2,627","3,445",11.0,9.7,"44,074","68,656","66,452","73,348",17.5,27.2,26.3,29.0,"25,548","77,939","88,793","116,086",8.3,25.3,28.8,37.6,"61,334",13.4,"15,171",15.7,"9,425","60,316",228725,241588,5277,5430,201578,212552,22908,24981,2337,2449,7091,6978,432,435,10940,10524
