State,Area Name,2010 population estimate,2019 population estimate,Births in 2019,Deaths in 2019,International migration 2019,Domestic migration 2019,Net migration 2019,Rate of birth 2019,Rate of death 2019,"Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Estimate of people of all ages in poverty 2019,Estimated percent of people of all ages in poverty 2019,Estimate of people age 0-17 in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimate of related children age 5-17 in families in poverty 2019,Estimate of median household income 2019,Total male,Total female,Two or more races male,Two or more races female,White male,White female,Black male,Black female,American Indian or Alaska Native male,American Indian or Alaska Native female,Asian male,Asian female,Pacific Islander male,Pacific Islander female,Hispanic male,Hispanic female
IN,Putnam County,"37,945","37,576",356,344,40,38,78,9.5,9.2,"4,270","10,956","4,533","2,981",18.8,48.2,19.9,13.1,"2,762","10,512","7,374","4,162",11.1,42.4,29.7,16.8,"3,408",10.5,947,13.6,646,"64,098",19686,17890,272,288,18176,17311,1350,364,184,143,236,345,24,22,443,320
IN,Randolph County,"26,176","24,665",283,269,10,-165,-155,11.4,10.9,"3,730","8,701","4,065","1,814",20.4,47.5,22.2,9.9,"2,164","7,521","5,152","2,484",12.5,43.4,29.7,14.3,"3,222",13.3,"1,021",18.9,656,"50,496",12126,12539,172,160,11896,12335,199,158,125,103,67,91,19,22,503,420
IN,Ripley County,"28,812","28,324",343,300,9,-179,-170,12.1,10.6,"3,586","7,967","3,512","1,962",21.1,46.8,20.6,11.5,"2,054","8,400","5,317","3,473",10.7,43.6,27.6,18.0,"2,525",9.1,775,12.0,541,"61,219",14100,14224,169,176,13821,13994,144,125,147,127,157,149,7,10,300,230
IN,Rush County,"17,392","16,581",183,184,7,-59,-52,11.0,11.1,"2,447","6,123","2,211","1,239",20.4,50.9,18.4,10.3,"1,456","5,346","3,112","1,602",12.6,46.4,27.0,13.9,"1,785",11.0,544,15.1,373,"54,371",8158,8423,99,121,7995,8258,161,141,56,82,41,56,9,8,127,165
IN,St. Joseph County,"266,914","271,826","3,429","2,460",802,-914,-112,12.6,9.1,"29,235","53,901","43,686","39,238",17.6,32.5,26.3,23.6,"20,212","54,163","49,695","52,101",11.5,30.7,28.2,29.6,"39,848",15.3,"13,272",21.5,"8,736","53,881",132376,139450,4122,4337,109956,114618,20441,22597,1780,1872,4371,4802,259,302,12830,11982
IN,Scott County,"24,195","23,873",262,310,20,117,137,11.0,13.0,"4,228","6,273","2,957","1,302",28.6,42.5,20.0,8.8,"2,760","7,158","4,564","1,966",16.8,43.5,27.7,12.0,"3,194",13.6,968,18.7,669,"50,571",11701,12172,108,123,11490,11912,128,108,98,73,79,191,20,16,335,253
IN,Shelby County,"44,379","44,729",492,442,32,126,158,11.0,9.9,"5,715","12,672","6,351","3,613",20.2,44.7,22.4,12.7,"3,911","13,101","8,107","5,765",12.7,42.4,26.2,18.7,"4,414",10.1,"1,309",13.4,856,"59,798",22225,22504,298,284,21581,21894,486,429,186,171,243,254,43,57,981,966
IN,Spencer County,"20,955","20,277",212,235,-2,-84,-86,10.4,11.6,"2,541","5,769","3,430","1,751",18.8,42.8,25.4,13.0,"1,368","6,628","4,210","2,188",9.5,46.0,29.2,15.2,"1,728",8.7,438,10.2,319,"59,183",10227,10050,124,119,10044,9880,180,153,85,70,40,63,7,7,325,288
IN,Starke County,"23,362","22,995",262,284,-2,69,67,11.4,12.4,"4,285","6,640","3,079","1,286",28.0,43.4,20.1,8.4,"2,385","6,656","4,881","1,875",15.1,42.1,30.9,11.9,"3,046",13.3,941,18.7,602,"54,001",11476,11519,154,133,11333,11376,122,94,131,125,40,59,10,6,472,482
IN,Steuben County,"34,147","34,594",336,348,15,106,121,9.7,10.1,"3,321","9,099","5,462","3,288",15.7,43.0,25.8,15.5,"2,103","9,414","7,074","5,168",8.9,39.6,29.8,21.8,"2,846",8.6,810,12.0,547,"59,444",17522,17072,204,217,17121,16746,282,210,139,138,172,191,26,15,684,612
IN,Sullivan County,"21,475","20,669",207,209,-2,-24,-26,10.0,10.1,"2,832","6,569","3,994","1,387",19.2,44.4,27.0,9.4,"1,680","6,592","4,838","1,804",11.3,44.2,32.4,12.1,"2,643",14.4,717,19.0,466,"53,375",11257,9412,141,149,10202,9314,1048,95,93,101,51,50,10,5,247,119
IN,Switzerland County,"10,687","10,751",110,109,13,7,20,10.2,10.1,"1,685","2,617","1,138",449,28.6,44.4,19.3,7.6,"1,171","3,363","1,928",791,16.1,46.4,26.6,10.9,"1,529",14.5,608,23.7,422,"52,482",5542,5209,57,63,5387,5133,155,59,37,46,19,35,6,2,104,100
IN,Tippecanoe County,"172,803","195,732","2,196","1,204","2,070","-1,159",911,11.3,6.2,"9,751","24,386","19,278","26,496",12.2,30.5,24.1,33.2,"8,855","26,901","29,086","40,984",8.4,25.4,27.5,38.7,"28,780",16.1,"5,500",14.0,"3,688","51,228",100050,95682,2310,2002,83927,82000,6772,6931,896,812,10754,7949,160,135,8857,8206
IN,Tipton County,"15,936","15,148",144,157,7,43,50,9.5,10.4,"1,837","5,439","2,571","1,400",16.3,48.4,22.9,12.4,"1,159","4,419","2,579","2,671",10.7,40.8,23.8,24.7,"1,166",7.8,283,9.5,184,"69,960",7545,7603,98,76,7396,7480,120,84,74,52,55,63,6,5,247,196
IN,Union County,"7,516","7,054",66,66,-10,37,27,9.4,9.4,961,"2,180","1,113",530,20.1,45.6,23.3,11.1,633,"2,184","1,288",933,12.6,43.4,25.6,18.5,667,9.6,192,13.4,131,"53,866",3485,3569,55,57,3422,3504,56,52,32,29,29,35,4,6,64,63
IN,Vanderburgh County,"179,701","181,451","2,058","1,889",217,-47,170,11.4,10.4,"18,935","40,026","31,543","21,674",16.9,35.7,28.1,19.3,"12,306","40,315","37,927","33,511",9.9,32.5,30.6,27.0,"25,190",14.4,"7,327",19.4,"4,516","51,603",87952,93499,2401,2607,77375,82488,10477,10928,707,709,1652,1849,267,284,2647,2508
IN,Vermillion County,"16,210","15,498",170,199,17,1,18,11.0,12.8,"2,144","5,158","2,829","1,279",18.8,45.2,24.8,11.2,986,"4,731","3,644","1,552",9.0,43.4,33.4,14.2,"1,859",12.2,539,16.3,373,"50,723",7735,7763,114,105,7638,7663,102,88,60,70,44,45,8,10,92,111
IN,Vigo County,"107,852","107,038","1,192","1,169",194,-547,-353,11.1,10.9,"12,655","23,226","16,566","14,267",19.0,34.8,24.8,21.4,"8,059","22,137","21,625","17,408",11.6,32.0,31.2,25.1,"20,241",20.8,"5,205",24.8,"3,465","48,082",54102,52936,1357,1272,47903,48387,5647,3988,516,479,1396,1358,61,72,1868,1138
IN,Wabash County,"32,888","30,996",306,406,10,-113,-103,9.8,13.1,"4,153","10,467","4,997","3,127",18.3,46.0,22.0,13.7,"2,426","9,224","6,070","3,923",11.2,42.6,28.0,18.1,"3,163",10.9,882,14.7,569,"59,874",15047,15949,188,203,14706,15582,208,229,207,197,107,148,11,9,431,416
IN,Warren County,"8,511","8,265",86,84,4,-19,-15,10.4,10.2,846,"2,640","1,372",790,15.0,46.7,24.3,14.0,473,"2,456","1,810","1,141",8.0,41.8,30.8,19.4,766,9.4,249,14.1,163,"64,109",4102,4163,52,48,4051,4096,42,38,30,29,29,45,3,4,93,89
IN,Warrick County,"59,689","62,998",627,617,58,460,518,10.0,9.8,"4,728","11,628","10,681","7,534",13.7,33.6,30.9,21.8,"2,898","13,402","13,590","12,992",6.8,31.3,31.7,30.3,"3,888",6.3,"1,156",8.0,768,"79,644",30906,32092,490,504,29362,30589,866,757,218,214,937,1026,27,30,632,617
IN,Washington County,"28,254","28,036",321,302,0,87,87,11.5,10.8,"4,380","7,783","3,679","1,806",24.8,44.1,20.8,10.2,"2,890","8,330","5,518","2,591",15.0,43.1,28.5,13.4,"3,325",12.1,"1,105",17.7,781,"51,948",13987,14049,142,151,13817,13901,137,109,105,103,72,85,5,5,208,172
IN,Wayne County,"68,996","65,884",757,866,70,-122,-52,11.5,13.1,"10,353","18,692","11,776","6,501",21.9,39.5,24.9,13.7,"6,163","16,997","14,095","8,295",13.5,37.3,30.9,18.2,"9,577",15.2,"3,264",23.3,"1,881","47,885",31871,34013,960,983,29575,31819,2389,2229,344,329,471,570,96,98,1111,1019
IN,Wells County,"27,637","28,296",321,246,31,109,140,11.4,8.7,"2,254","8,260","4,717","2,536",12.7,46.5,26.5,14.3,"1,471","7,628","6,420","3,454",7.8,40.2,33.8,18.2,"2,041",7.4,695,10.3,466,"61,636",13967,14329,176,171,13701,14053,237,192,102,99,95,153,13,8,529,411
IN,White County,"24,638","24,102",291,282,28,-66,-38,12.1,11.7,"3,015","8,021","4,032","1,761",17.9,47.7,24.0,10.5,"1,868","6,917","5,120","2,720",11.2,41.6,30.8,16.4,"2,429",10.3,720,13.3,495,"58,295",12001,12101,151,173,11719,11830,188,145,157,170,78,124,14,8,1132,994
IN,Whitley County,"33,287","33,964",409,312,12,-192,-180,12.0,9.2,"2,762","9,077","5,504","2,652",13.8,45.4,27.5,13.3,"1,906","9,160","7,464","4,842",8.2,39.2,31.9,20.7,"2,559",7.7,714,9.4,501,"67,347",16938,17026,221,210,16665,16783,187,154,159,160,134,136,19,8,365,384
IA,Iowa,"3,046,871","3,155,070","37,672","28,809","2,663","-5,011","-2,348",12.0,9.1,"263,436","683,942","546,388","402,090",13.9,36.1,28.8,21.2,"165,514","648,398","681,042","597,831",7.9,31.0,32.5,28.6,"337,156",11.0,"91,495",12.8,"60,772","61,807",,,,,,,,,,,,,,,,
IA,Adair County,"7,682","7,152",84,77,2,71,73,11.8,10.8,695,"2,754","1,608",638,12.2,48.4,28.2,11.2,296,"2,074","1,800",945,5.8,40.5,35.2,18.5,750,10.7,198,12.9,137,"57,977",3562,3590,45,40,3502,3545,45,37,25,25,31,22,5,2,92,90
IA,Adams County,"4,029","3,602",29,38,0,-35,-35,8.0,10.5,484,"1,297",974,376,15.5,41.4,31.1,12.0,166,"1,042","1,040",414,6.2,39.1,39.1,15.6,450,12.5,146,19.6,102,"53,385",1799,1803,13,17,1764,1774,15,15,16,14,16,17,1,0,27,25
IA,Allamakee County,"14,328","13,687",192,178,16,-194,-178,13.9,12.9,"1,846","4,405","2,258","1,437",18.6,44.3,22.7,14.4,"1,135","3,811","3,008","1,718",11.7,39.4,31.1,17.8,"1,745",13.0,493,15.6,338,"56,240",6986,6701,58,53,6752,6505,151,116,91,57,31,56,23,27,541,432
IA,Appanoose County,"12,887","12,426",127,170,0,69,69,10.2,13.7,"1,744","3,871","2,640","1,146",18.6,41.2,28.1,12.2,876,"3,251","3,320","1,454",9.8,36.5,37.3,16.3,"2,373",19.3,665,24.1,470,"41,672",6152,6274,101,92,6018,6151,110,92,61,55,61,60,7,9,152,126
IA,Audubon County,"6,119","5,496",60,63,1,29,30,10.9,11.5,822,"2,106","1,198",578,17.5,44.8,25.5,12.3,424,"1,495","1,423",688,10.5,37.1,35.3,17.1,587,10.9,194,16.9,129,"53,197",2674,2822,22,32,2633,2779,31,26,12,19,19,29,1,2,50,55
IA,Benton County,"26,069","25,645",280,263,6,-1,5,10.9,10.3,"2,019","7,183","5,054","2,311",12.2,43.4,30.5,13.9,"1,050","6,555","6,221","3,925",5.9,36.9,35.0,22.1,"1,964",7.8,477,8.2,326,"70,023",12812,12833,140,136,12598,12650,193,157,75,77,87,72,6,18,178,227
IA,Black Hawk County,"131,086","131,228","1,660","1,212",188,"-1,129",-941,12.6,9.2,"10,621","27,534","22,228","18,018",13.5,35.1,28.4,23.0,"7,204","25,525","26,629","24,360",8.6,30.5,31.8,29.1,"17,407",13.7,"4,268",15.2,"2,724","60,010",64624,66604,1643,1664,56101,57922,7279,7613,557,583,2148,1949,318,320,3084,2938
IA,Boone County,"26,308","26,234",268,290,-15,-40,-55,10.2,11.0,"1,928","6,697","5,611","3,293",11.0,38.2,32.0,18.8,"1,128","5,848","6,879","4,691",6.1,31.5,37.1,25.3,"2,227",8.7,552,10.5,367,"63,975",13289,12945,158,155,12943,12688,268,183,126,103,103,115,11,18,376,324
IA,Bremer County,"24,280","25,062",271,218,23,48,71,10.8,8.7,"1,828","5,585","4,234","3,188",12.3,37.6,28.5,21.5,591,"5,412","5,389","5,036",3.6,32.9,32.8,30.7,"1,581",6.7,344,6.3,238,"67,229",12400,12662,140,156,12058,12352,243,211,69,59,169,195,10,8,196,209
IA,Buchanan County,"20,953","21,175",267,199,4,-74,-70,12.6,9.4,"2,057","5,839","3,791","1,696",15.4,43.6,28.3,12.7,826,"5,398","4,763","3,018",5.9,38.5,34.0,21.5,"1,984",9.5,768,14.4,525,"67,906",10507,10668,127,123,10336,10517,144,126,68,59,94,90,8,7,207,163
IA,Buena Vista County,"20,265","19,620",286,148,40,-385,-345,14.5,7.5,"2,378","4,607","3,369","2,382",18.7,36.2,26.5,18.7,"2,708","3,812","3,567","2,477",21.6,30.3,28.4,19.7,"1,903",10.2,664,13.5,448,"57,048",9896,9724,144,144,8183,8293,468,326,112,106,1088,984,209,172,2642,2543
IA,Butler County,"14,869","14,439",134,172,6,-53,-47,9.3,11.9,"1,885","4,376","2,994","1,308",17.8,41.4,28.3,12.4,770,"3,903","3,833","1,775",7.5,38.0,37.3,17.3,"1,492",10.5,401,12.8,246,"57,080",7180,7259,72,60,7051,7173,62,55,29,37,112,54,7,6,113,93
IA,Calhoun County,"10,177","9,668",102,124,4,-25,-21,10.5,12.8,"1,149","3,002","2,514","1,212",14.6,38.1,31.9,15.4,433,"2,659","2,599","1,306",6.2,38.0,37.1,18.7,"1,032",11.5,290,14.2,208,"57,007",5014,4654,54,56,4772,4584,230,68,34,37,32,19,4,2,110,92
IA,Carroll County,"20,816","20,165",237,224,7,-8,-1,11.8,11.1,"2,299","5,597","3,931","2,247",16.3,39.8,27.9,16.0,889,"5,045","4,749","3,079",6.5,36.7,34.5,22.4,"1,631",8.2,437,9.0,303,"61,379",9979,10186,116,90,9729,9975,221,175,62,56,85,69,8,7,304,272
IA,Cass County,"13,952","12,836",141,182,7,-77,-70,10.9,14.1,"1,454","4,159","2,970","1,713",14.1,40.4,28.8,16.6,"1,119","3,538","2,802","1,872",12.0,37.9,30.0,20.1,"1,798",14.3,532,19.0,363,"53,692",6308,6528,65,53,6191,6399,72,52,49,50,35,45,28,37,208,156
IA,Cedar County,"18,441","18,627",194,171,0,42,42,10.4,9.2,"1,507","5,152","3,634","1,998",12.3,41.9,29.6,16.3,573,"4,872","4,636","2,870",4.4,37.6,35.8,22.2,"1,433",7.8,357,8.8,243,"71,029",9272,9355,136,109,9117,9211,129,106,72,61,88,86,15,11,225,206
IA,Cerro Gordo County,"44,153","42,450",442,495,15,-153,-138,10.4,11.6,"3,975","10,385","10,530","6,325",12.7,33.3,33.7,20.3,"2,239","9,341","11,771","7,217",7.3,30.6,38.5,23.6,"3,504",8.5,"1,094",12.7,762,"54,589",20784,21666,392,372,19878,20938,756,585,167,177,336,310,65,45,1101,1057
IA,Cherokee County,"12,067","11,235",112,163,3,-11,-8,9.9,14.5,"1,117","3,805","2,644","1,352",12.5,42.7,29.6,15.2,563,"2,931","2,869","1,819",6.9,35.8,35.1,22.2,"1,105",10.2,289,12.2,197,"59,901",5622,5613,58,58,5460,5494,118,81,49,42,46,45,10,13,261,202
IA,Chickasaw County,"12,442","11,933",145,111,6,-59,-53,12.1,9.3,"1,456","3,981","2,285","1,075",16.6,45.3,26.0,12.2,594,"3,617","2,651","1,427",7.2,43.6,32.0,17.2,"1,012",8.5,335,12.2,242,"60,111",6000,5933,52,51,5916,5852,87,63,26,28,23,42,4,3,194,147
IA,Clarke County,"9,286","9,395",124,106,19,-142,-123,13.1,11.2,945,"2,613","1,780",732,15.6,43.0,29.3,12.1,782,"2,485","2,103","1,020",12.2,38.9,32.9,16.0,"1,078",11.7,415,17.5,274,"57,708",4791,4604,74,63,4623,4446,90,74,84,68,54,63,17,16,807,642
IA,Clay County,"16,667","16,016",201,163,4,-133,-129,12.5,10.1,"1,404","4,306","4,079","1,903",12.0,36.8,34.9,16.3,732,"3,917","4,138","2,585",6.4,34.4,36.4,22.7,"1,627",10.3,499,13.9,342,"57,174",7874,8142,98,98,7684,7988,142,117,58,58,86,76,10,4,333,325
IA,Clayton County,"18,128","17,549",178,188,9,11,20,10.1,10.7,"2,221","5,811","3,084","1,627",17.4,45.6,24.2,12.8,"1,279","5,492","3,688","2,250",10.1,43.2,29.0,17.7,"1,910",11.0,509,14.0,354,"53,223",8897,8652,94,87,8739,8547,150,85,50,53,47,42,12,17,199,153
IA,Clinton County,"49,117","46,429",508,518,12,-9,3,10.9,11.2,"4,773","13,776","9,840","4,769",14.4,41.5,29.7,14.4,"2,970","12,654","11,177","5,849",9.1,38.8,34.2,17.9,"6,009",13.1,"1,888",18.3,"1,261","56,865",22787,23642,479,468,21810,22644,1022,1000,215,218,222,241,22,18,826,706
IA,Crawford County,"17,096","16,820",228,151,38,-386,-348,13.4,8.9,"2,376","4,739","2,586","1,367",21.5,42.8,23.4,12.4,"2,204","4,152","3,172","1,584",19.8,37.4,28.5,14.3,"2,074",12.5,708,17.2,485,"58,077",8577,8243,100,69,7803,7726,439,254,154,129,259,190,27,21,2530,2323
IA,Dallas County,"66,139","93,453","1,299",507,115,"2,577","2,692",14.2,5.5,"2,770","8,662","7,962","7,089",10.5,32.7,30.1,26.8,"2,484","10,067","15,685","28,669",4.4,17.7,27.6,50.4,"3,956",4.3,"1,115",4.4,759,"97,535",46056,47397,783,788,42078,43725,1698,1472,366,371,2690,2580,62,67,2973,2874
IA,Davis County,"8,753","9,000",150,84,0,-38,-38,16.7,9.3,"1,177","2,309","1,456",636,21.1,41.4,26.1,11.4,944,"1,819","1,740","1,089",16.9,32.5,31.1,19.5,"1,021",11.5,434,16.5,309,"57,150",4467,4533,49,45,4426,4491,37,25,30,35,21,28,4,1,77,73
IA,Decatur County,"8,456","7,870",98,79,3,-42,-39,12.4,10.0,966,"2,192","1,325",800,18.3,41.5,25.1,15.1,529,"1,813","1,286","1,212",10.9,37.5,26.6,25.0,"1,309",18.3,420,24.3,284,"44,873",3961,3909,56,58,3785,3792,139,73,36,53,46,44,16,6,157,100
IA,Delaware County,"17,770","17,011",196,174,5,-98,-93,11.5,10.2,"1,755","5,567","2,927","1,535",14.9,47.2,24.8,13.0,979,"5,045","3,807","1,961",8.3,42.8,32.3,16.6,"1,450",8.6,431,10.9,306,"70,091",8618,8393,71,73,8480,8281,126,104,37,39,41,38,8,5,134,146
IA,Des Moines County,"40,325","38,967",437,434,-12,-173,-185,11.2,11.1,"4,035","11,173","8,682","4,535",14.2,39.3,30.5,16.0,"2,184","9,177","10,545","5,523",8.0,33.5,38.4,20.1,"5,703",14.9,"1,821",21.2,"1,241","53,547",18982,19985,538,553,17492,18457,1591,1574,187,191,239,294,33,31,670,652
IA,Dickinson County,"16,667","17,258",147,178,5,163,168,8.6,10.4,"1,267","4,136","3,823","2,504",10.8,35.3,32.6,21.3,510,"3,351","4,610","4,277",4.0,26.3,36.2,33.6,"1,192",7.0,270,8.3,176,"66,211",8581,8677,106,87,8438,8519,113,69,50,53,85,114,7,9,201,179
IA,Dubuque County,"93,643","97,311","1,136",907,60,106,166,11.7,9.3,"8,454","22,999","13,574","12,209",14.8,40.2,23.7,21.3,"4,731","21,221","18,955","19,947",7.3,32.7,29.2,30.8,"10,030",10.7,"2,472",11.4,"1,662","62,481",48017,49294,825,809,45078,46537,2341,2126,338,334,815,818,329,313,1247,1313
IA,Emmet County,"10,302","9,208",104,108,5,-69,-64,11.3,11.7,"1,295","2,616","2,407",947,17.8,36.0,33.1,13.0,604,"2,127","2,526","1,219",9.3,32.8,39.0,18.8,999,11.4,267,15.3,188,"55,635",4641,4567,134,72,4467,4387,118,86,139,109,57,49,13,13,516,416
IA,Fayette County,"20,882","19,650",214,228,13,-27,-14,10.9,11.6,"2,231","6,396","3,987","2,018",15.2,43.7,27.2,13.8,"1,142","5,453","4,657","2,518",8.3,39.6,33.8,18.3,"2,489",13.2,683,16.8,486,"53,142",9896,9754,170,116,9510,9520,332,156,79,60,152,127,7,9,294,238
IA,Floyd County,"16,293","15,642",187,180,-5,-113,-118,11.9,11.5,"1,615","4,681","3,464","1,691",14.1,40.9,30.3,14.8,"1,076","3,846","3,791","2,148",9.9,35.4,34.9,19.8,"1,802",11.7,535,15.2,370,"55,369",7723,7919,93,104,7357,7524,277,283,40,61,136,149,9,9,295,303
IA,Franklin County,"10,680","10,070",117,107,6,-31,-25,11.6,10.6,"1,178","2,844","2,272","1,068",16.0,38.6,30.9,14.5,630,"2,544","2,633","1,272",8.9,35.9,37.2,18.0,"1,105",11.2,395,17.1,278,"55,847",5099,4971,71,72,4975,4822,99,93,55,66,37,57,10,7,781,570
IA,Fremont County,"7,438","6,960",78,77,2,-24,-22,11.2,11.0,831,"2,356","1,594",776,15.0,42.4,28.7,14.0,393,"1,677","1,977",941,7.9,33.6,39.6,18.9,789,11.6,220,14.7,153,"60,498",3501,3459,57,34,3426,3418,65,38,37,20,28,15,3,2,103,107
IA,Greene County,"9,337","8,888",103,114,-1,-65,-66,11.5,12.8,"1,016","2,980","2,021","1,031",14.4,42.3,28.7,14.6,415,"2,502","2,211","1,176",6.6,39.7,35.1,18.7,986,11.2,282,14.1,190,"55,562",4397,4491,49,62,4310,4412,47,46,44,50,40,44,6,4,155,128
IA,Grundy County,"12,453","12,232",124,134,0,-29,-29,10.1,10.9,"1,141","3,239","2,628","1,457",13.5,38.3,31.0,17.2,470,"2,724","3,027","2,407",5.4,31.6,35.1,27.9,659,5.5,195,7.1,134,"73,683",6060,6172,59,49,5981,6102,71,59,31,20,31,36,5,4,97,74
IA,Guthrie County,"10,955","10,689",112,117,5,-30,-25,10.5,10.9,"1,163","3,583","2,043","1,187",14.6,44.9,25.6,14.9,519,"2,934","2,591","1,492",6.9,38.9,34.4,19.8,929,8.8,266,11.6,197,"64,965",5340,5349,67,59,5248,5271,73,53,50,45,31,33,6,8,155,145
IA,Hamilton County,"15,675","14,773",170,178,1,-107,-106,11.5,12.0,"1,405","4,481","3,264","1,944",12.7,40.4,29.4,17.5,709,"3,416","3,859","2,566",6.7,32.4,36.6,24.3,"1,320",9.1,407,12.4,298,"63,234",7322,7451,103,139,6964,7160,173,141,78,78,211,206,2,7,451,469
IA,Hancock County,"11,338","10,630",115,130,1,-66,-65,10.8,12.2,"1,149","3,119","2,568","1,248",14.2,38.6,31.8,15.4,511,"2,792","2,550","1,829",6.7,36.3,33.2,23.8,945,9.0,251,10.9,176,"62,030",5342,5288,59,54,5254,5167,68,84,37,36,37,51,7,6,295,229
IA,Hardin County,"17,534","16,846",169,210,10,-58,-48,10.0,12.4,"1,806","4,668","3,980","2,161",14.3,37.0,31.5,17.1,919,"4,220","4,492","2,524",7.6,34.7,37.0,20.8,"1,689",10.6,468,15.2,328,"57,103",8450,8396,126,90,8089,8217,274,83,92,60,115,115,12,12,423,334
IA,Harrison County,"14,937","14,049",154,181,-1,-28,-29,10.9,12.9,"1,572","4,628","2,959","1,328",15.0,44.1,28.2,12.7,838,"3,676","3,445","1,923",8.5,37.2,34.9,19.5,"1,206",8.7,317,9.9,222,"63,901",7071,6978,108,78,6986,6888,68,56,82,61,44,49,2,8,134,131
IA,Henry County,"20,145","19,954",215,183,6,-117,-111,10.8,9.2,"1,872","5,361","4,093","2,183",13.9,39.7,30.3,16.2,"1,017","4,915","5,044","2,681",7.4,36.0,36.9,19.6,"2,142",11.7,645,15.3,461,"57,747",10289,9665,188,144,9547,9200,489,217,117,75,295,307,38,17,561,465
IA,Howard County,"9,564","9,158",117,120,-4,-6,-10,12.8,13.1,"1,375","2,857","1,574",839,20.7,43.0,23.7,12.6,571,"2,511","2,203",995,9.1,40.0,35.1,15.8,865,9.6,301,13.4,211,"58,028",4572,4586,50,51,4515,4517,56,54,30,29,19,38,4,5,77,82
IA,Humboldt County,"9,814","9,558",107,106,5,-7,-2,11.2,11.1,967,"2,717","2,307","1,087",13.7,38.4,32.6,15.4,481,"2,482","2,317","1,421",7.2,37.0,34.6,21.2,"1,010",10.8,279,12.7,193,"56,695",4709,4849,67,62,4603,4777,80,67,51,28,41,35,3,5,208,223
IA,Ida County,"7,089","6,860",68,103,1,50,51,9.9,15.0,804,"2,312","1,504",729,15.0,43.2,28.1,13.6,325,"1,861","1,716",891,6.8,38.8,35.8,18.6,704,10.5,192,11.5,131,"58,249",3412,3448,32,42,3359,3388,32,31,26,21,24,46,5,6,118,99
IA,Iowa County,"16,356","16,184",182,182,-2,34,32,11.3,11.3,"1,372","4,448","3,081","1,664",13.0,42.1,29.2,15.8,697,"4,188","4,267","2,124",6.2,37.1,37.8,18.8,"1,056",6.7,302,8.2,198,"66,861",8108,8076,117,89,7962,7945,141,103,68,46,51,67,6,8,290,233
IA,Jackson County,"19,853","19,439",223,231,2,20,22,11.5,11.9,"2,516","6,074","3,364","1,642",18.5,44.7,24.7,12.1,"1,015","5,726","4,280","2,618",7.4,42.0,31.4,19.2,"2,362",12.3,725,17.3,516,"57,687",9725,9714,132,127,9524,9488,134,133,82,80,58,76,61,66,165,148
IA,Jasper County,"36,842","37,185",406,378,10,-40,-30,10.9,10.2,"3,336","11,343","6,593","4,019",13.2,44.8,26.1,15.9,"1,586","10,765","8,787","4,889",6.1,41.4,33.8,18.8,"2,968",8.4,836,10.3,575,"67,317",19010,18175,223,238,18145,17739,749,314,159,145,166,197,23,23,534,490
IA,Jefferson County,"16,840","18,295",158,185,142,-74,68,8.6,10.1,"1,298","3,423","2,772","3,400",11.9,31.4,25.4,31.2,928,"3,812","4,602","4,294",6.8,28.0,33.7,31.5,"2,386",14.2,487,17.6,338,"51,741",10025,8270,198,167,7911,7724,401,210,112,102,1797,401,8,7,320,269
IA,Johnson County,"130,882","151,140","1,730",765,478,-855,-377,11.5,5.1,"3,983","12,449","16,507","29,920",6.3,19.8,26.3,47.6,"4,429","14,245","22,636","46,226",5.1,16.3,25.9,52.8,"22,937",16.0,"3,124",10.5,"2,162","67,295",74890,76250,1852,1960,63842,65222,6722,6387,676,703,5482,5903,118,126,4342,4369
IA,Jones County,"20,636","20,681",200,202,11,1,12,9.7,9.8,"2,021","5,833","4,173","1,749",14.7,42.3,30.3,12.7,"1,124","5,805","4,880","2,866",7.7,39.6,33.3,19.5,"1,844",9.5,507,11.9,336,"63,399",10732,9949,67,85,10209,9694,432,196,82,60,71,80,5,5,263,197
IA,Keokuk County,"10,510","10,246",121,103,4,12,16,11.8,10.1,"1,228","3,548","2,003",888,16.0,46.3,26.1,11.6,510,"2,888","2,451","1,308",7.1,40.4,34.2,18.3,"1,150",11.4,368,15.9,261,"54,937",5170,5076,57,48,5098,5005,74,51,33,31,20,35,2,2,109,83
IA,Kossuth County,"15,545","14,813",164,152,5,-83,-78,11.0,10.2,"1,686","4,553","3,870","1,585",14.4,38.9,33.1,13.6,640,"3,938","4,105","1,842",6.1,37.4,39.0,17.5,"1,506",10.3,434,13.6,306,"59,568",7467,7346,80,86,7311,7167,129,115,54,66,46,78,11,8,247,248
